person_id,wiki_id,pages,ref,vol
i-F8PYYMApcYdswb4AWjZyqf,Q5733305,212,http://www.wikidata.org/entity/Q110346241,3
i-NW9amfhpK6mEn3WxKi9YQ9,Q5734641,85,http://www.wikidata.org/entity/Q110346241,1
i-FYQMv7Nmr5BzKpTjd9ia9j,Q5734660,316,http://www.wikidata.org/entity/Q110346241,4
i-vv3qi37uGEV4YUv1xZ3Zk,Q5734900,317,http://www.wikidata.org/entity/Q110346241,4
i-3tSjG8xn8oFwrNxgnNCH2t,Q5734929,133,http://www.wikidata.org/entity/Q110346241,5
i-2qpXYDWyLKFhrmxJnaW7rv,Q5736964,483,http://www.wikidata.org/entity/Q110346241,4
i-E8TiwWqfaYd3F9AxYvGujx,Q5737042,224,http://www.wikidata.org/entity/Q110346241,4
i-W7JM8gbjzRQWRr4GLmb3UY,Q5737817,87,http://www.wikidata.org/entity/Q110346241,1
i-CeGvv2Aweq3Yr9kqppiSub,Q5743497,51,http://www.wikidata.org/entity/Q110346241,3
i-Csc7yC4r8hvm8juPSLyuDt,Q5745045,134,http://www.wikidata.org/entity/Q110346241,5
i-9fnjME1eW8K8kyikqsAoDW,Q5746604,62,http://www.wikidata.org/entity/Q110346241,5
i-UorJwn2scwABTf47APC1S2,Q5747245,69,http://www.wikidata.org/entity/Q110346241,2
i-9SHnAjHpLBQfhwqrNpggaV,Q5748259,84,http://www.wikidata.org/entity/Q110346241,4
i-KwHwxj5zEpDUoZ2yNLrmX8,Q5749448,62,http://www.wikidata.org/entity/Q110346241,5
i-AuvNgvupyypcCHtg3MDctG,Q5752978,52,http://www.wikidata.org/entity/Q110346241,3
i-EjrwczzWeDXdSPXT5TLk7s,Q5753625,221,http://www.wikidata.org/entity/Q110346241,5
i-7b7kby5VttiCieta1L2BuF,Q5754375,153,http://www.wikidata.org/entity/Q110346241,2
i-TWpuz5Z8AYuiMvzxvaKbWd,Q5754601,403,http://www.wikidata.org/entity/Q110346241,4
i-3ykbHssXLi4NNLwsnFwbvc,Q5754690,225,http://www.wikidata.org/entity/Q110346241,4
i-Nr9KDuEPfWTuJ73jyaxaJy,Q5754722,213,http://www.wikidata.org/entity/Q110346241,3
i-XMfjFNP4aSnrmwXadviHbG,Q5754752,319,http://www.wikidata.org/entity/Q110346241,4
i-HTMwcqp6N89VZX6J54ZQRi,Q5760576,484,http://www.wikidata.org/entity/Q110346241,4
i-3RKCrkKntDoTBLCqiaT4UX,Q5760652,52,http://www.wikidata.org/entity/Q110346241,3
i-PsuwYwD9qsG7pUKuZV3Dmx,Q5767122,348,http://www.wikidata.org/entity/Q110346241,5
i-3WPAoJ5CXMR9smqz76LSLc,Q5768483,154,http://www.wikidata.org/entity/Q110346241,2
i-NZuEyns3RhUEdS4Z93nD6B,Q5768895,414,http://www.wikidata.org/entity/Q110346241,5
i-3hsNT67j3mhgNmNX5hg5tR,Q5768918,414,http://www.wikidata.org/entity/Q110346241,5
i-VH2by7UursuDS17S9AebiZ,Q5770994,320,http://www.wikidata.org/entity/Q110346241,4
i-TXgjPkpyG5XW2kxCc1jF94,Q5771035,298,http://www.wikidata.org/entity/Q110346241,5
i-2x28CSiBB3LbhjSkT1J5Jb,Q5771737,484,http://www.wikidata.org/entity/Q110346241,4
i-SkzLVUHgWJtmJHnJRa4rH1,Q5776536,485,http://www.wikidata.org/entity/Q110346241,4
i-KDqwZhktG4Xjq6E8jPHvbX,Q5779398,121,http://www.wikidata.org/entity/Q110346241,3
i-22EGSH6WucdXDkn19Wz7Mu,Q5779404,337,http://www.wikidata.org/entity/Q111443541,2
i-22EGSH6WucdXDkn19Wz7Mu,Q5779404,404,http://www.wikidata.org/entity/Q110346241,4
i-AvGpsGJvs5PXTcEG4DtbFt,Q5779439,211,http://www.wikidata.org/entity/Q110346241,3
i-7APUEDdtwmAmmVwZyzCQPJ,Q5779563,87,http://www.wikidata.org/entity/Q110346241,4
i-LwdNyMrdw4ZSw5qSgwNVRn,Q5782356,96,http://www.wikidata.org/entity/Q110346241,1
i-F1dpMef5QiAAg6QLm3tfpo,Q5784822,370,http://www.wikidata.org/entity/Q110346241,1
i-CnoiM39VKopDWcuG7JuGp7,Q5784931,228,http://www.wikidata.org/entity/Q110346241,4
i-9XHDwtcK1WinGBgwCyQx4G,Q5784939,65,http://www.wikidata.org/entity/Q110346241,5
i-RUBGDTWLpDv7SjmvNfvf2n,Q5785596,223,http://www.wikidata.org/entity/Q110346241,5
i-4mrg1QMgWqyV1QUWeh9cap,Q5786064,322,http://www.wikidata.org/entity/Q110346241,4
i-EjEKL9dmFcrekuggyNiCSZ,Q5786123,487,http://www.wikidata.org/entity/Q110346241,4
i-KF71L4Ta19mdHRVmCFfDpm,Q5786136,488,http://www.wikidata.org/entity/Q110346241,4
